date	open	high	close	low	volume	amount
1991-09-23 00:00:00	185.0	185.92	185.0	184.71	403400	2806000
1991-09-20 00:00:00	185.77	187.21	185.92	185.66	1207500	7417000
1991-09-19 00:00:00	187.65	189.21	186.88	186.49	2343900	14607000
1991-09-18 00:00:00	187.26	188.59	187.63	187.18	1582200	11015000
1991-09-17 00:00:00	191.16	191.18	188.65	188.28	2882900	18623000
1991-09-16 00:00:00	189.55	189.66	189.66	187.79	993300	6343000
1991-09-13 00:00:00	188.0	188.04	187.79	185.01	3743400	24035000
1991-09-12 00:00:00	186.22	187.4	186.22	186.07	1969900	16265000
1991-09-11 00:00:00	187.29	187.29	187.22	186.86	2139200	14677000
1991-09-10 00:00:00	190.98	190.98	188.33	188.19	3343400	21507000
1991-09-09 00:00:00	189.1	189.24	189.24	187.36	355200	2349000
1991-09-06 00:00:00	187.09	187.36	187.36	185.51	276500	1761000
1991-09-05 00:00:00	185.48	185.51	185.51	183.69	151400	1095000
1991-09-04 00:00:00	183.66	183.69	183.69	181.97	65000	470000
1991-09-03 00:00:00	181.71	181.97	181.97	180.22	147500	940000
1991-09-02 00:00:00	180.08	180.22	180.22	178.43	140800	886000
1991-08-30 00:00:00	178.2	178.43	178.43	176.66	675900	4219000
1991-08-29 00:00:00	176.53	176.66	176.66	174.92	260800	1629000
1991-08-28 00:00:00	174.82	174.92	174.92	173.19	80400	511000
1991-08-27 00:00:00	173.06	173.19	173.19	171.51	79600	520000
1991-08-26 00:00:00	171.51	171.51	171.51	169.81	64300	518000
1991-08-23 00:00:00	169.81	169.81	169.81	168.16	60500	502000
1991-08-22 00:00:00	167.81	168.16	168.16	166.49	129600	845000
1991-08-21 00:00:00	166.49	166.49	166.49	164.84	341100	2106000
1991-08-20 00:00:00	164.74	164.84	164.84	163.21	57300	388000
1991-08-19 00:00:00	163.21	163.21	163.21	161.6	98500	614000
1991-08-16 00:00:00	161.56	161.6	161.6	160.21	98400	581000
1991-08-15 00:00:00	159.92	160.21	160.21	158.63	153700	850000
1991-08-14 00:00:00	158.3	158.63	158.63	158.11	548000	2929000
1991-08-13 00:00:00	156.87	157.07	157.07	155.54	2003900	10529000
1991-08-12 00:00:00	155.34	155.54	155.54	154.1	391900	2154000
1991-08-09 00:00:00	153.9	154.1	154.1	152.61	371500	1990000
1991-08-08 00:00:00	152.57	152.61	152.61	151.12	195100	1045000
1991-08-07 00:00:00	150.93	151.12	151.12	149.62	110700	580000
1991-08-06 00:00:00	149.62	149.62	149.62	148.15	200100	1065000
1991-08-05 00:00:00	148.06	148.15	148.15	146.68	512600	2593000
1991-08-02 00:00:00	146.49	146.68	146.68	145.44	1174400	5825000
1991-08-01 00:00:00	145.12	145.24	145.24	143.8	473100	2310000
1991-07-31 00:00:00	143.72	143.8	143.8	142.39	405100	1993000
1991-07-30 00:00:00	142.39	142.45	142.39	141.39	560100	2718000
1991-07-29 00:00:00	141.22	141.72	141.52	140.81	477100	2350000
1991-07-26 00:00:00	140.11	141.46	140.66	139.27	927900	4520000
1991-07-25 00:00:00	140.2	141.01	140.19	139.99	839000	4080000
1991-07-24 00:00:00	140.66	140.74	140.68	138.69	598800	2901000
1991-07-23 00:00:00	139.35	139.39	139.39	138.07	724100	3548000
1991-07-22 00:00:00	138.07	138.07	138.07	136.7	276400	1423000
1991-07-19 00:00:00	137.66	138.54	136.7	136.66	1082300	5242000
1991-07-18 00:00:00	137.17	137.17	137.17	135.81	84700	464000
1991-07-17 00:00:00	135.81	135.81	135.81	135.39	66000	397000
1991-07-16 00:00:00	134.39	134.47	134.47	133.14	279600	1328000
1991-07-15 00:00:00	133.9	134.1	133.14	131.87	1193800	5534000
1991-07-12 00:00:00	132.8	133.38	132.8	132.42	314400	1484000
1991-07-11 00:00:00	133.22	133.99	133.38	133.13	507300	2417000
1991-07-10 00:00:00	134.4	135.6	133.99	133.72	602300	2894000
1991-07-09 00:00:00	136.56	136.57	134.64	134.31	844200	4174000
1991-07-08 00:00:00	135.26	135.28	135.28	134.93	587400	2925000
1991-07-05 00:00:00	136.01	137.68	135.96	135.9	1454000	9394000
1991-07-04 00:00:00	136.63	136.63	136.63	134.19	1339400	8095000
1991-07-03 00:00:00	135.28	135.96	135.27	134.98	271500	1818000
1991-07-02 00:00:00	135.91	135.96	135.96	135.69	283800	3794000
1991-07-01 00:00:00	136.64	138.62	136.85	136.56	2294000	12469000
1991-06-28 00:00:00	137.41	137.56	137.56	136.19	493500	3032000
1991-06-27 00:00:00	136.04	136.19	136.19	134.83	449700	2521000
1991-06-26 00:00:00	134.83	134.83	134.83	133.49	340900	2149000
1991-06-25 00:00:00	133.48	133.49	133.49	132.17	162400	1296000
1991-06-24 00:00:00	132.1	132.17	132.17	131.8	196000	1657000
1991-06-21 00:00:00	130.72	130.86	130.86	128.81	1361300	7746000
1991-06-20 00:00:00	129.55	129.57	129.57	129.21	229900	1321000
1991-06-19 00:00:00	128.12	128.29	128.29	127.03	148100	744000
1991-06-18 00:00:00	127.03	127.03	127.03	126.67	203000	1015000
1991-06-17 00:00:00	125.63	125.77	125.77	123.54	693300	4056000
1991-06-14 00:00:00	124.47	126.34	124.53	124.47	663300	3541000
1991-06-13 00:00:00	125.33	125.34	125.34	123.65	2086800	11563000
1991-06-12 00:00:00	123.9	124.11	124.11	122.89	137200	735000
1991-06-11 00:00:00	122.89	122.89	122.89	121.67	54300	375000
1991-06-10 00:00:00	121.65	121.67	121.67	120.47	40000	458000
1991-06-07 00:00:00	120.46	120.47	120.47	119.35	10000	83000
1991-06-06 00:00:00	119.26	119.33	119.35	118.17	26600	160000
1991-06-05 00:00:00	118.17	118.17	118.17	117.14	30800	279000
1991-06-04 00:00:00	117.12	117.12	117.12	116.83	360300	2018000
