String
Fiber_Na
Food_Na
Glass_Na
Inorganic-wastes_Na
Metals_Na
Plastics_HDPE
Plastics_LDPE
Plastics_Others-HIPC
Plastics_Others-MLP
Plastics_Others-Tetrapak
Plastics_PET
Plastics_PP
Plastics_PS
Plastics_PVC
Rubber-&-Leather_Na
Textiles_Na
Wood_Na
Yard-trimming_Na
