Aluminium_Can
Aluminium_Foil
Battery
Brush
Bulb
Fiber_Cardboard
Fiber_Cup-&-glass
Fiber_Paper
Footwear
Glass_Bottle
Lighter
Metals
Metals_Bottle
Metals_Container
Metals_Lid
Plastics-ABS_Electronics
Plastics-HDPE_Bottle
Plastics-HDPE_Container
Plastics-HDPE_Lid
Plastics-HDPE_Toys
Plastics-HDPE_Tube
Plastics-LDPE_Flexibles
Plastics-MLP_Flexibles
Plastics-PC_CD
Plastics-PC_Goggles
Plastics-PET_Blister-pack
Plastics-PET_Bottle
Plastics-PET_Container
Plastics-PET_Cup-&-glass
Plastics-PP_Comb
Plastics-PP_Container
Plastics-PP_Pen
Plastics-PP_Spoon
Plastics-PP_Straw
Plastics-PP_Tray
Plastics-PS
Plastics-PS_Cup-&-glass
Plastics-PS_Flexibles
Plastics-PS_Hangers
Plastics-PVC_Pipe
Plastics-Tetrapak_Carton
Textile_Clothes
Textile_Flexibles
Tire
Wood
