String
Fiber_Na_Cup-&-Glass
Fiber_Na_Paper-Products
Fiber_Na_Paper-Products-Cardboard
Fiber_Na_Paper-Products-Newspaper
Fiber_Na_Paper-Products-White-Paper
Glass_Na_Bottle
Metals_na_Can
Plastics_HDPE_Bottle
Plastics_HDPE_Brush
Plastics_HDPE_Can
Plastics_HDPE_Cosmetic
Plastics_HDPE_Cup-&-Glass
Plastics_HDPE_Cutlery
Plastics_HDPE_Jug-&-Jar
Plastics_HDPE_Lid
Plastics_HDPE_Mirror
Plastics_HDPE_Na
Plastics_HDPE_Office-Stationary
Plastics_HDPE_Toys
Plastics_HDPE_Tube
Plastics_LDPE_Blister-Pack
Plastics_LDPE_Flexibles
Plastics_Na_Bag
Plastics_Others-HIPC_Cup-&-Glass
Plastics_Others-MLP_Flexibles
Plastics_PET_Bottle
Plastics_PET_Clamshell
Plastics_PET_Cup-&-Glass
Plastics_PET_Jug-&-Jar
Plastics_PET_Lid
Plastics_PP_Bottle
Plastics_PP_Box
Plastics_PP_Bulb
Plastics_PP_Clamshell
Plastics_PP_Jug-&-Jar
Plastics_PP_Lid
Plastics_PP_Office-Stationary
Plastics_PP_Pipe
Plastics_PS_Na
Plastics_PVC_Na
Rubber-&-Leather_Na_Foot-Wear
Textiles_Na_Bag
Textiles_Na_Clothes
Plastics_PET_Can
Plastics_PP_Cup-&-Glass
Plastics_PP_Cutlery
Plastics_PP_Hangers
Plastics_PP_Tray
