String
Bag
Battery
Blister-pack
Book-&-magazine
Bottle
Box
Brush
Bulb
Can
Cards
Carton
Cassette-&-tape
Clamshell
Clothes
Container
Cosmetic
Cup-&-glass
Cutlery
Electronic-devices
Flexibles
Foil
Foot-wear
Hangers
Jug-&-Jar
Lid
Mirror
Office-Stationary
Paper-Products-Others
Paper-Products-Others-Cardboard
Paper-Products-Others-Newspaper
Paper-Products-Others-Whitepaper
Pipe
Sachets-&-Pouch
Scissor
Tangler
Toys
Tray
Tube
