String
Flexibles
Bottle
Jar
Carton
Sachets-&-Pouch
Blister-pack
Tray
Tube
Can
Tub
Cosmetic
Box
Clothes
Bulb
Cup-&-glass
Book-&-magazine
Bag
Lid
Clamshell
Mirror
Tangler
Cutlery
Cassette-&-tape
Electronic-devices
Battery
Pen-&-pencil
Paper-products
Foot-wear
Scissor
Toys
Brush
Pipe
Foil
Hangers
